#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 00 140  2.6 99.0 99.00 99.00 99.00 999 1017.4  10.0  12.5 999.0 99.0 99.00
2011 01 01 01 00  80  1.5 99.0 99.00 99.00 99.00 999 1017.4   9.9  12.5 999.0 99.0 99.00
2011 01 01 02 00 160  2.6 99.0 99.00 99.00 99.00 999 1017.1  10.2  12.4 999.0 99.0 99.00
2011 01 01 03 00 180  2.6 99.0 99.00 99.00 99.00 999 1017.5  10.3  12.3 999.0 99.0 99.00
2011 01 01 04 00 180  3.1 99.0 99.00 99.00 99.00 999 1017.5  10.4  12.2 999.0 99.0 99.00
2011 01 01 05 00 200  3.6 99.0 99.00 99.00 99.00 999 1017.8  10.5  12.2 999.0 99.0 99.00
2011 01 01 06 00 190  5.7 99.0 99.00 99.00 99.00 999 1017.8  11.0  12.2 999.0 99.0 99.00
2011 01 01 07 00 180  7.2 99.0 99.00 99.00 99.00 999 1017.6  10.9  12.1 999.0 99.0 99.00
2011 01 01 08 00 120  3.1 99.0 99.00 99.00 99.00 999 1017.7  10.4  12.0 999.0 99.0 99.00
2011 01 01 09 00 150  2.6 99.0 99.00 99.00 99.00 999 1017.3  10.6  12.1 999.0 99.0 99.00
2011 01 01 10 00  80  3.1 99.0 99.00 99.00 99.00 999 1016.9  10.6  12.1 999.0 99.0 99.00
2011 01 01 11 00  90  2.1 99.0 99.00 99.00 99.00 999 1016.3  10.4  12.1 999.0 99.0 99.00
2011 01 01 12 00  90  3.1 99.0 99.00 99.00 99.00 999 1016.4  10.4  12.2 999.0 99.0 99.00
2011 01 01 13 00 110  6.2 99.0 99.00 99.00 99.00 999 1016.1   9.5  12.3 999.0 99.0 99.00
2011 01 01 14 00 100  4.6 99.0 99.00 99.00 99.00 999 1015.9   9.1  12.3 999.0 99.0 99.00
2011 01 01 15 00 150  7.7 99.0 99.00 99.00 99.00 999 1016.4  10.6  12.4 999.0 99.0 99.00
2011 01 01 16 00 190 10.8 99.0 99.00 99.00 99.00 999 1017.1  11.4  12.4 999.0 99.0 99.00
2011 01 01 17 00 190  9.8 99.0 99.00 99.00 99.00 999 1018.4  11.7  12.4 999.0 99.0 99.00
2011 01 01 18 00 200  9.3 99.0 99.00 99.00 99.00 999 1019.3  11.3  12.4 999.0 99.0 99.00
2011 01 01 19 00 180 12.4 99.0 99.00 99.00 99.00 999 1018.8  11.5  12.5 999.0 99.0 99.00
2011 01 01 20 00 190 12.9 99.0 99.00 99.00 99.00 999 1017.8  11.8  12.5 999.0 99.0 99.00
2011 01 01 21 00 190 12.9 99.0 99.00 99.00 99.00 999 1017.3  12.2  12.5 999.0 99.0 99.00
2011 01 01 22 00 190 12.4 99.0 99.00 99.00 99.00 999 1016.6  12.2  12.5 999.0 99.0 99.00
2011 01 01 23 00 120  6.2 99.0 99.00 99.00 99.00 999 1016.9  11.3  12.5 999.0 99.0 99.00
2011 01 02 00 00 120  6.7 99.0 99.00 99.00 99.00 999 1016.8  11.3  12.5 999.0 99.0 99.00
2011 01 02 01 00 120  6.7 99.0 99.00 99.00 99.00 999 1017.1  11.0  12.5 999.0 99.0 99.00
2011 01 02 02 00 120  4.6 99.0 99.00 99.00 99.00 999 1016.7  11.5  12.5 999.0 99.0 99.00
2011 01 02 03 00 150  6.2 99.0 99.00 99.00 99.00 999 1016.6  12.0  12.5 999.0 99.0 99.00
2011 01 02 04 00 110  8.2 99.0 99.00 99.00 99.00 999 1015.7  10.6  12.5 999.0 99.0 99.00
2011 01 02 05 00 120  9.8 99.0 99.00 99.00 99.00 999 1015.1  10.8  12.4 999.0 99.0 99.00
2011 01 02 06 00 120  9.3 99.0 99.00 99.00 99.00 999 1014.5  11.6  12.4 999.0 99.0 99.00
2011 01 02 07 00 130  8.8 99.0 99.00 99.00 99.00 999 1014.2  11.2  12.4 999.0 99.0 99.00
2011 01 02 08 00 130  8.2 99.0 99.00 99.00 99.00 999 1014.4  10.8  12.4 999.0 99.0 99.00
2011 01 02 09 00 120  9.3 99.0 99.00 99.00 99.00 999 1013.2  11.0  12.4 999.0 99.0 99.00
2011 01 02 10 00 140  8.2 99.0 99.00 99.00 99.00 999 1012.9  10.8  12.4 999.0 99.0 99.00
2011 01 02 11 00 120 10.3 99.0 99.00 99.00 99.00 999 1012.2  10.6  12.4 999.0 99.0 99.00
2011 01 02 12 00 130  9.3 99.0 99.00 99.00 99.00 999 1011.8  10.4  12.4 999.0 99.0 99.00
2011 01 02 13 00 130  8.2 99.0 99.00 99.00 99.00 999 1012.4  10.1  12.4 999.0 99.0 99.00
2011 01 02 14 00 130  9.3 99.0 99.00 99.00 99.00 999 1012.2  10.0  12.4 999.0 99.0 99.00
2011 01 02 15 00 190 10.8 99.0 99.00 99.00 99.00 999 1012.0  11.4  12.4 999.0 99.0 99.00
2011 01 02 16 00 130  6.2 99.0 99.00 99.00 99.00 999 1012.5  10.1  12.4 999.0 99.0 99.00
2011 01 02 17 00 110  7.2 99.0 99.00 99.00 99.00 999 1012.7   9.8  12.3 999.0 99.0 99.00
2011 01 02 18 00 120  5.1 99.0 99.00 99.00 99.00 999 1013.4  10.6  12.4 999.0 99.0 99.00
2011 01 02 19 00 110  4.6 99.0 99.00 99.00 99.00 999 1013.5  10.3  12.3 999.0 99.0 99.00
2011 01 02 20 00 120  5.1 99.0 99.00 99.00 99.00 999 1012.8  10.3  12.4 999.0 99.0 99.00
2011 01 02 21 00 120  5.7 99.0 99.00 99.00 99.00 999 1012.1  11.0  12.4 999.0 99.0 99.00
2011 01 02 22 00 110  5.7 99.0 99.00 99.00 99.00 999 1012.0  11.0  12.4 999.0 99.0 99.00
2011 01 02 23 00 190  4.1 99.0 99.00 99.00 99.00 999 1012.2  10.9  12.4 999.0 99.0 99.00
2011 01 03 00 00 180  5.1 99.0 99.00 99.00 99.00 999 1012.4  10.9  12.4 999.0 99.0 99.00
2011 01 03 01 00 200  2.6 99.0 99.00 99.00 99.00 999 1012.9  11.1  12.4 999.0 99.0 99.00
2011 01 03 02 00 250  1.5 99.0 99.00 99.00 99.00 999 1013.3  11.1  12.4 999.0 99.0 99.00
2011 01 03 03 00 110  5.1 99.0 99.00 99.00 99.00 999 1013.7  10.8  12.4 999.0 99.0 99.00
2011 01 03 04 00 120  5.1 99.0 99.00 99.00 99.00 999 1014.4  10.0  12.3 999.0 99.0 99.00
2011 01 03 05 00 120  7.7 99.0 99.00 99.00 99.00 999 1013.9  10.0  12.3 999.0 99.0 99.00
2011 01 03 06 00 130  4.1 99.0 99.00 99.00 99.00 999 1014.4  10.3  12.3 999.0 99.0 99.00
2011 01 03 07 00 120  4.1 99.0 99.00 99.00 99.00 999 1014.6  10.3  12.3 999.0 99.0 99.00
2011 01 03 08 00  80  4.6 99.0 99.00 99.00 99.00 999 1014.9  10.0  12.3 999.0 99.0 99.00
2011 01 03 09 00  80  4.6 99.0 99.00 99.00 99.00 999 1014.9  10.1  12.3 999.0 99.0 99.00
2011 01 03 10 00  90  7.2 99.0 99.00 99.00 99.00 999 1014.6  10.2  12.2 999.0 99.0 99.00
2011 01 03 11 00 100  5.1 99.0 99.00 99.00 99.00 999 1015.5   9.5  12.3 999.0 99.0 99.00
2011 01 03 12 00  90  7.2 99.0 99.00 99.00 99.00 999 1015.2   9.5  12.2 999.0 99.0 99.00
2011 01 03 13 00 100  6.7 99.0 99.00 99.00 99.00 999 1015.5   9.5  12.3 999.0 99.0 99.00
2011 01 03 14 00  90  6.7 99.0 99.00 99.00 99.00 999 1015.9   9.4  12.3 999.0 99.0 99.00
2011 01 03 15 00 100  6.7 99.0 99.00 99.00 99.00 999 1016.2   9.6  12.3 999.0 99.0 99.00
2011 01 03 16 00  80  6.7 99.0 99.00 99.00 99.00 999 1016.7   9.6  12.3 999.0 99.0 99.00
2011 01 03 17 00 100  7.2 99.0 99.00 99.00 99.00 999 1017.2   9.6  12.3 999.0 99.0 99.00
2011 01 03 18 00 100  6.7 99.0 99.00 99.00 99.00 999 1017.8   9.2  12.3 999.0 99.0 99.00
2011 01 03 19 00  80  6.2 99.0 99.00 99.00 99.00 999 1017.9   9.9  12.3 999.0 99.0 99.00
2011 01 03 20 00  90  5.1 99.0 99.00 99.00 99.00 999 1017.5  10.4  12.3 999.0 99.0 99.00
2011 01 03 21 00  70  4.1 99.0 99.00 99.00 99.00 999 1017.4  11.3  12.4 999.0 99.0 99.00
2011 01 03 22 00  60  4.1 99.0 99.00 99.00 99.00 999 1017.2  11.8  12.4 999.0 99.0 99.00
2011 01 03 23 00  60  4.6 99.0 99.00 99.00 99.00 999 1017.3  12.1  12.4 999.0 99.0 99.00
2011 01 04 00 00 150  2.1 99.0 99.00 99.00 99.00 999 1017.7  12.4  12.4 999.0 99.0 99.00
2011 01 04 01 00 340  4.6 99.0 99.00 99.00 99.00 999 1018.1  11.4  12.4 999.0 99.0 99.00
2011 01 04 02 00  90  7.2 99.0 99.00 99.00 99.00 999 1018.5  11.9  12.4 999.0 99.0 99.00
2011 01 04 03 00  80  6.2 99.0 99.00 99.00 99.00 999 1019.1  11.6  12.3 999.0 99.0 99.00
