#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 01 270  7.7 99.0 99.00 99.00 99.00 999 9999.0  11.8  12.7 999.0 99.0 99.00
2014 01 01 02 01 280  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.0  12.6 999.0 99.0 99.00
2014 01 01 06 01 270  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.9  12.4 999.0 99.0 99.00
2014 01 01 08 11  10  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.6  12.5 999.0 99.0 99.00
2014 01 01 09 01  10  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.0  12.5 999.0 99.0 99.00
2014 01 01 11 01  20  4.1 99.0 99.00 99.00 99.00 999 9999.0   9.9  12.6 999.0 99.0 99.00
2014 01 01 18 11  10  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.1  12.6 999.0 99.0 99.00
2014 01 01 21 01 300  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.7 999.0 99.0 99.00
2014 01 02 00 11 270  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.8 999.0 99.0 99.00
2014 01 02 02 01 290  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.8 999.0 99.0 99.00
2014 01 02 03 01 340  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.7 999.0 99.0 99.00
2014 01 02 04 01 100  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.7 999.0 99.0 99.00
2014 01 02 06 11  20  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.3  12.7 999.0 99.0 99.00
2014 01 02 07 11 330  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  12.7 999.0 99.0 99.00
2014 01 02 08 11  30  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.2  12.7 999.0 99.0 99.00
2014 01 02 13 01 360  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.6 999.0 99.0 99.00
2014 01 02 14 11  20  4.6 99.0 99.00 99.00 99.00 999 9999.0  11.9  12.6 999.0 99.0 99.00
2014 01 02 19 01  10  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.7  12.6 999.0 99.0 99.00
2014 01 02 20 11 300  3.1 99.0 99.00 99.00 99.00 999 9999.0  13.0  12.7 999.0 99.0 99.00
2014 01 02 21 01 280  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.7  12.7 999.0 99.0 99.00
2014 01 02 23 11 270  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.1  12.7 999.0 99.0 99.00
2014 01 03 03 01 130  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.7  12.6 999.0 99.0 99.00
2014 01 03 06 11 340  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.9  12.6 999.0 99.0 99.00
2014 01 03 09 01 330  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.6 999.0 99.0 99.00
2014 01 03 10 01  30  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.2  12.6 999.0 99.0 99.00
2014 01 03 13 01 360  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.3  12.5 999.0 99.0 99.00
2014 01 03 15 01  30  5.1 99.0 99.00 99.00 99.00 999 9999.0  11.8  12.5 999.0 99.0 99.00
2014 01 03 19 01 300  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.0  12.5 999.0 99.0 99.00
2014 01 03 20 11 250  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.9  12.6 999.0 99.0 99.00
2014 01 03 21 51 250  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.6  12.6 999.0 99.0 99.00
2014 01 03 23 01 300  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.9  12.6 999.0 99.0 99.00
2014 01 04 00 11 280  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.8  12.6 999.0 99.0 99.00
2014 01 04 01 11 250  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.6  12.6 999.0 99.0 99.00
2014 01 04 03 01 230  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.6 999.0 99.0 99.00
2014 01 04 08 11 280  5.7 99.0 99.00 99.00 99.00 999 9999.0  11.9  12.5 999.0 99.0 99.00
2014 01 04 09 01 280  5.7 99.0 99.00 99.00 99.00 999 9999.0  11.7  12.5 999.0 99.0 99.00
2014 01 04 10 01 280  6.7 99.0 99.00 99.00 99.00 999 9999.0  11.3  12.5 999.0 99.0 99.00
2014 01 04 11 01 270  6.2 99.0 99.00 99.00 99.00 999 9999.0  11.1  12.5 999.0 99.0 99.00
2014 01 04 13 01 340  3.1 99.0 99.00 99.00 99.00 999 9999.0  11.6  12.5 999.0 99.0 99.00
2014 01 04 14 01 320  3.1 99.0 99.00 99.00 99.00 999 9999.0  10.2  12.5 999.0 99.0 99.00
2014 01 04 15 01 310  2.6 99.0 99.00 99.00 99.00 999 9999.0  10.3  12.4 999.0 99.0 99.00
2014 01 04 16 11  50  2.1 99.0 99.00 99.00 99.00 999 9999.0   9.9  12.4 999.0 99.0 99.00
2014 01 04 18 01 320  2.1 99.0 99.00 99.00 99.00 999 9999.0   9.5  12.5 999.0 99.0 99.00
2014 01 04 19 11 300  3.1 99.0 99.00 99.00 99.00 999 9999.0  10.2  12.6 999.0 99.0 99.00
2014 01 04 21 01 270  5.1 99.0 99.00 99.00 99.00 999 9999.0  10.9  12.7 999.0 99.0 99.00
2014 01 05 00 01 270  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.6 999.0 99.0 99.00
2014 01 05 03 11 150  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.6 999.0 99.0 99.00
2014 01 05 04 01 120  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.5 999.0 99.0 99.00
2014 01 05 06 01 340  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.5 999.0 99.0 99.00
2014 01 05 07 01  50  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.5 999.0 99.0 99.00
2014 01 05 15 11  40  6.2 99.0 99.00 99.00 99.00 999 9999.0  11.6  12.5 999.0 99.0 99.00
2014 01 05 16 01  50  7.2 99.0 99.00 99.00 99.00 999 9999.0  11.3  12.5 999.0 99.0 99.00
2014 01 05 19 11  70  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.8  12.6 999.0 99.0 99.00
2014 01 06 00 01 190  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.9  12.8 999.0 99.0 99.00
2014 01 06 01 01 230  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.8  12.8 999.0 99.0 99.00
2014 01 06 02 11 240  2.1 99.0 99.00 99.00 99.00 999 9999.0  10.7  12.7 999.0 99.0 99.00
2014 01 06 05 11  50  2.1 99.0 99.00 99.00 99.00 999 9999.0  10.0  12.6 999.0 99.0 99.00
2014 01 06 06 01  90  1.5 99.0 99.00 99.00 99.00 999 9999.0   9.8  12.6 999.0 99.0 99.00
2014 01 06 07 01  30  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.9  12.6 999.0 99.0 99.00
2014 01 06 08 01  40  4.1 99.0 99.00 99.00 99.00 999 9999.0   9.3  12.6 999.0 99.0 99.00
2014 01 06 16 11  50  6.2 99.0 99.00 99.00 99.00 999 9999.0  11.0  12.5 999.0 99.0 99.00
2014 01 06 22 11 150  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.2  12.8 999.0 99.0 99.00
2014 01 06 23 01 180  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.7 999.0 99.0 99.00
2014 01 07 01 01 210  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.7 999.0 99.0 99.00
2014 01 07 02 01 200  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.3  12.6 999.0 99.0 99.00
2014 01 07 05 11 310  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.2  12.6 999.0 99.0 99.00
2014 01 07 09 01 280  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.6 999.0 99.0 99.00
2014 01 07 11 21 280  1.5 99.0 99.00 99.00 99.00 999 9999.0  11.9  12.7 999.0 99.0 99.00
2014 01 07 19 01 290  2.6 99.0 99.00 99.00 99.00 999 9999.0  10.5  12.7 999.0 99.0 99.00
2014 01 07 20 11 290  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.8 999.0 99.0 99.00
2014 01 07 23 01 220  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.7  13.0 999.0 99.0 99.00
2014 01 08 00 01 230  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  13.0 999.0 99.0 99.00
2014 01 08 05 11 270  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.8  13.0 999.0 99.0 99.00
2014 01 08 06 21 280  5.1 99.0 99.00 99.00 99.00 999 9999.0  13.0  13.0 999.0 99.0 99.00
2014 01 08 09 21 350  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.9  13.0 999.0 99.0 99.00
2014 01 08 12 21 310  3.6 99.0 99.00 99.00 99.00 999 9999.0   9.6  13.0 999.0 99.0 99.00
2014 01 08 14 11 360  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.3  13.0 999.0 99.0 99.00
2014 01 08 15 11 290  4.1 99.0 99.00 99.00 99.00 999 9999.0  11.8  13.0 999.0 99.0 99.00
2014 01 08 16 11 310  3.6 99.0 99.00 99.00 99.00 999 9999.0  11.8  13.0 999.0 99.0 99.00
2014 01 08 19 11 280  4.6 99.0 99.00 99.00 99.00 999 9999.0  11.9  13.0 999.0 99.0 99.00
2014 01 08 21 11 260  7.2 99.0 99.00 99.00 99.00 999 9999.0  12.0  13.0 999.0 99.0 99.00
2014 01 09 00 21 280  8.2 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.9 999.0 99.0 99.00
2014 01 09 01 21 280  9.8 99.0 99.00 99.00 99.00 999 9999.0  12.3  12.9 999.0 99.0 99.00
2014 01 09 02 11 280 10.3 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.8 999.0 99.0 99.00
2014 01 09 04 21 280  8.2 99.0 99.00 99.00 99.00 999 9999.0  12.6  12.8 999.0 99.0 99.00
2014 01 09 10 11 290  3.1 99.0 99.00 99.00 99.00 999 9999.0  11.6  12.6 999.0 99.0 99.00
2014 01 09 11 11 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  11.7  12.6 999.0 99.0 99.00
2014 01 09 14 21  30  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.0  12.6 999.0 99.0 99.00
2014 01 09 16 21  90  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.4  12.6 999.0 99.0 99.00
2014 01 09 17 11  70  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.0  12.6 999.0 99.0 99.00
2014 01 09 18 21  70  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.5  12.7 999.0 99.0 99.00
2014 01 09 19 21 270  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.7 999.0 99.0 99.00
2014 01 09 20 11 280  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  13.0 999.0 99.0 99.00
2014 01 09 22 11 280  8.8 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.7 999.0 99.0 99.00
2014 01 10 02 11 280 10.3 99.0 99.00 99.00 99.00 999 9999.0  12.4  12.6 999.0 99.0 99.00
2014 01 10 04 21 290  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.5  12.6 999.0 99.0 99.00
2014 01 10 06 11 290  8.2 99.0 99.00 99.00 99.00 999 9999.0  12.6  12.6 999.0 99.0 99.00
