#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 03 59  50  6.7 99.0 99.00 99.00 99.00 999 1021.9  11.9  12.8 999.0 99.0 99.00
2010 01 03 04 58  50  7.7 99.0 99.00 99.00 99.00 999 1021.6  11.7  12.9 999.0 99.0 99.00
2010 01 03 05 59  40  8.8 99.0 99.00 99.00 99.00 999 1021.2  11.4  12.9 999.0 99.0 99.00
2010 01 03 06 59  40  8.8 99.0 99.00 99.00 99.00 999 1021.4  11.2  12.8 999.0 99.0 99.00
2010 01 03 07 59  40  9.3 99.0 99.00 99.00 99.00 999 1020.8  11.1  12.7 999.0 99.0 99.00
2010 01 03 08 59  60  8.8 99.0 99.00 99.00 99.00 999 1020.3  11.1  12.7 999.0 99.0 99.00
2010 01 03 09 58  50 10.3 99.0 99.00 99.00 99.00 999 1020.2  11.0  12.7 999.0 99.0 99.00
2010 01 03 10 59  50  8.2 99.0 99.00 99.00 99.00 999 1019.9  10.9  12.7 999.0 99.0 99.00
2010 01 03 11 58  60  8.2 99.0 99.00 99.00 99.00 999 1019.7  10.9  12.7 999.0 99.0 99.00
2010 01 03 12 58  60  8.2 99.0 99.00 99.00 99.00 999 1019.6  10.2  12.8 999.0 99.0 99.00
2010 01 03 13 58  60  8.2 99.0 99.00 99.00 99.00 999 1019.4   9.9  12.8 999.0 99.0 99.00
2010 01 03 14 58  70  7.7 99.0 99.00 99.00 99.00 999 1019.3  10.4  12.9 999.0 99.0 99.00
2010 01 03 15 59  60 10.3 99.0 99.00 99.00 99.00 999 1019.3  10.2  12.8 999.0 99.0 99.00
2010 01 03 16 59  60  9.3 99.0 99.00 99.00 99.00 999 1019.7  10.1  12.7 999.0 99.0 99.00
2010 01 03 17 59  60  8.2 99.0 99.00 99.00 99.00 999 1020.1  10.3  12.7 999.0 99.0 99.00
2010 01 03 18 59  60  8.8 99.0 99.00 99.00 99.00 999 1019.5  11.0  12.8 999.0 99.0 99.00
2010 01 03 19 59  60  7.2 99.0 99.00 99.00 99.00 999 1018.6  11.7 999.0 999.0 99.0 99.00
2010 01 03 20 58  60  4.1 99.0 99.00 99.00 99.00 999 1018.1  11.9  12.7 999.0 99.0 99.00
2010 01 03 21 58  60  1.5 99.0 99.00 99.00 99.00 999 1018.0  12.3  12.7 999.0 99.0 99.00
2010 01 03 22 59  30  1.5 99.0 99.00 99.00 99.00 999 1018.3  13.0  12.7 999.0 99.0 99.00
2010 01 03 23 59 330  2.1 99.0 99.00 99.00 99.00 999 1018.2  12.1  12.8 999.0 99.0 99.00
2010 01 04 00 59 320  3.1 99.0 99.00 99.00 99.00 999 1018.0  11.5  12.6 999.0 99.0 99.00
2010 01 04 01 59 340  2.6 99.0 99.00 99.00 99.00 999 1018.4  11.7  12.7 999.0 99.0 99.00
2010 01 04 02 59  40  2.6 99.0 99.00 99.00 99.00 999 1018.6  11.7  12.6 999.0 99.0 99.00
2010 01 04 03 59  80  2.1 99.0 99.00 99.00 99.00 999 1018.7  11.6  12.8 999.0 99.0 99.00
2010 01 04 04 59  40  4.1 99.0 99.00 99.00 99.00 999 1018.9  11.8  12.8 999.0 99.0 99.00
2010 01 04 05 59  30  5.7 99.0 99.00 99.00 99.00 999 1018.9  11.4  12.7 999.0 99.0 99.00
2010 01 04 06 59  40  5.1 99.0 99.00 99.00 99.00 999 1019.1  10.9  12.8 999.0 99.0 99.00
2010 01 04 07 59  40  5.1 99.0 99.00 99.00 99.00 999 1019.1  10.5  12.8 999.0 99.0 99.00
2010 01 04 08 59  50  6.2 99.0 99.00 99.00 99.00 999 1018.5  10.9  12.7 999.0 99.0 99.00
2010 01 04 09 59  70  5.7 99.0 99.00 99.00 99.00 999 1018.7  10.9  12.8 999.0 99.0 99.00
2010 01 04 10 59  60  6.2 99.0 99.00 99.00 99.00 999 1018.7  10.6 999.0 999.0 99.0 99.00
2010 01 04 11 59  60  5.1 99.0 99.00 99.00 99.00 999 1018.9  10.3  12.8 999.0 99.0 99.00
2010 01 04 12 59  60  5.7 99.0 99.00 99.00 99.00 999 1018.6  10.1  12.8 999.0 99.0 99.00
2010 01 04 13 59  50  5.1 99.0 99.00 99.00 99.00 999 1018.8  10.3  12.8 999.0 99.0 99.00
2010 01 04 14 59  60  6.2 99.0 99.00 99.00 99.00 999 1018.7   9.5  12.9 999.0 99.0 99.00
2010 01 04 15 59  50  6.7 99.0 99.00 99.00 99.00 999 1018.9   9.9 999.0 999.0 99.0 99.00
2010 01 04 16 59  50  6.7 99.0 99.00 99.00 99.00 999 1019.6  10.3  12.8 999.0 99.0 99.00
2010 01 04 17 59  20  5.1 99.0 99.00 99.00 99.00 999 1020.2  10.2  12.7 999.0 99.0 99.00
2010 01 04 18 59  40  5.7 99.0 99.00 99.00 99.00 999 1020.0  10.9  12.8 999.0 99.0 99.00
2010 01 04 23 59 260  2.6 99.0 99.00 99.00 99.00 999 1019.0  12.0  12.6 999.0 99.0 99.00
2010 01 05 00 59 260  1.5 99.0 99.00 99.00 99.00 999 1018.8  11.6  12.4 999.0 99.0 99.00
2010 01 05 01 59 240  2.1 99.0 99.00 99.00 99.00 999 1019.0  11.4  12.9 999.0 99.0 99.00
2010 01 05 02 59 270  2.6 99.0 99.00 99.00 99.00 999 1019.6  11.5  12.0 999.0 99.0 99.00
2010 01 05 03 59 320  3.1 99.0 99.00 99.00 99.00 999 1019.5  11.4  12.7 999.0 99.0 99.00
2010 01 05 04 59 280  2.1 99.0 99.00 99.00 99.00 999 1020.1  11.4  12.7 999.0 99.0 99.00
2010 01 05 05 59  30  4.1 99.0 99.00 99.00 99.00 999 1020.1  11.0  12.7 999.0 99.0 99.00
2010 01 05 06 59  20  3.6 99.0 99.00 99.00 99.00 999 1020.4  10.7  12.7 999.0 99.0 99.00
2010 01 05 07 59 360  2.6 99.0 99.00 99.00 99.00 999 1020.2  10.7  12.7 999.0 99.0 99.00
2010 01 05 08 59  20  3.1 99.0 99.00 99.00 99.00 999 1020.2  10.1  12.8 999.0 99.0 99.00
2010 01 05 09 59  40  4.6 99.0 99.00 99.00 99.00 999 1019.8  10.0  12.8 999.0 99.0 99.00
2010 01 05 10 59  60  5.1 99.0 99.00 99.00 99.00 999 1019.5   9.8  12.8 999.0 99.0 99.00
2010 01 05 11 59  60  6.2 99.0 99.00 99.00 99.00 999 1019.3   9.0  12.7 999.0 99.0 99.00
2010 01 05 12 59  50  6.2 99.0 99.00 99.00 99.00 999 1019.6  10.2  12.7 999.0 99.0 99.00
2010 01 05 13 59  40  6.2 99.0 99.00 99.00 99.00 999 1020.0   9.9  12.7 999.0 99.0 99.00
2010 01 05 14 59  30  4.6 99.0 99.00 99.00 99.00 999 1020.6   9.6  12.8 999.0 99.0 99.00
2010 01 05 15 59  20  4.1 99.0 99.00 99.00 99.00 999 1021.5   9.1  12.8 999.0 99.0 99.00
2010 01 05 16 59  50  4.6 99.0 99.00 99.00 99.00 999 1021.8   9.2  12.8 999.0 99.0 99.00
2010 01 05 17 59  80  5.1 99.0 99.00 99.00 99.00 999 1022.0  10.0  12.8 999.0 99.0 99.00
2010 01 05 18 59  70  4.6 99.0 99.00 99.00 99.00 999 1021.4  10.4  12.7 999.0 99.0 99.00
2010 01 05 19 59  50  3.6 99.0 99.00 99.00 99.00 999 1020.5  10.9  12.7 999.0 99.0 99.00
