#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 07  50  1.5 99.0 99.00 99.00 99.00 999 1019.5  14.2  13.7 999.0 99.0 99.00
2020 01 01 01 07 280  1.0 99.0 99.00 99.00 99.00 999 1019.9  13.9  13.7 999.0 99.0 99.00
2020 01 01 02 07 300  2.6 99.0 99.00 99.00 99.00 999 1019.8  13.7  13.7 999.0 99.0 99.00
2020 01 01 03 07 320  4.6 99.0 99.00 99.00 99.00 999 1019.6  13.2  13.6 999.0 99.0 99.00
2020 01 01 04 07 330  5.1 99.0 99.00 99.00 99.00 999 1020.1  13.1  13.6 999.0 99.0 99.00
2020 01 01 05 07 340  3.6 99.0 99.00 99.00 99.00 999 1020.5  12.7  13.6 999.0 99.0 99.00
2020 01 01 06 07 330  5.7 99.0 99.00 99.00 99.00 999 1020.7  12.8  13.6 999.0 99.0 99.00
2020 01 01 07 07 320  3.1 99.0 99.00 99.00 99.00 999 1020.6  12.7  13.6 999.0 99.0 99.00
2020 01 01 08 07 100  5.7 99.0 99.00 99.00 99.00 999 1019.8  12.1  13.5 999.0 99.0 99.00
2020 01 01 09 07 320  5.7 99.0 99.00 99.00 99.00 999 1021.1  12.0  13.5 999.0 99.0 99.00
2020 01 01 10 07 320  5.1 99.0 99.00 99.00 99.00 999 1020.7  12.3  13.5 999.0 99.0 99.00
2020 01 01 11 07 350  5.1 99.0 99.00 99.00 99.00 999 1020.6  12.1  13.5 999.0 99.0 99.00
2020 01 01 12 07  70  1.0 99.0 99.00 99.00 99.00 999 1020.8  11.0  13.6 999.0 99.0 99.00
2020 01 01 13 07  70  3.1 99.0 99.00 99.00 99.00 999 1019.6  10.9  13.7 999.0 99.0 99.00
2020 01 01 14 07  80  3.1 99.0 99.00 99.00 99.00 999 1020.3  10.1  13.6 999.0 99.0 99.00
2020 01 01 15 07  30  2.1 99.0 99.00 99.00 99.00 999 1020.5  10.2  13.6 999.0 99.0 99.00
2020 01 01 16 07  20  1.5 99.0 99.00 99.00 99.00 999 1021.0  10.9  13.6 999.0 99.0 99.00
2020 01 01 17 07 140  2.1 99.0 99.00 99.00 99.00 999 1020.9  11.0  13.6 999.0 99.0 99.00
2020 01 01 18 07  90  2.1 99.0 99.00 99.00 99.00 999 1021.8  11.2  13.6 999.0 99.0 99.00
2020 01 01 19 07 110  1.5 99.0 99.00 99.00 99.00 999 1021.6  11.6  13.6 999.0 99.0 99.00
2020 01 01 20 07 350  3.6 99.0 99.00 99.00 99.00 999 1020.9  13.0  13.7 999.0 99.0 99.00
2020 01 01 21 07 310  6.7 99.0 99.00 99.00 99.00 999 1019.3  13.3  13.6 999.0 99.0 99.00
2020 01 01 22 07 320  8.2 99.0 99.00 99.00 99.00 999 1019.5  13.0  13.6 999.0 99.0 99.00
2020 01 01 23 07 300  9.3 99.0 99.00 99.00 99.00 999 1018.9  13.2  13.6 999.0 99.0 99.00
2020 01 02 00 07 300  9.3 99.0 99.00 99.00 99.00 999 1018.4  13.3  13.6 999.0 99.0 99.00
2020 01 02 01 07 300 10.8 99.0 99.00 99.00 99.00 999 1018.6  13.2  13.6 999.0 99.0 99.00
2020 01 02 02 07 310 10.3 99.0 99.00 99.00 99.00 999 1018.6  13.3  13.7 999.0 99.0 99.00
