#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 15 15 03 340  6.2 99.0 99.00 99.00 99.00 999 1019.5  10.2  11.0 999.0 99.0 99.00
2013 03 15 16 03 350  6.2 99.0 99.00 99.00 99.00 999 1019.5  10.1  11.0 999.0 99.0 99.00
2013 03 15 17 03 340  2.6 99.0 99.00 99.00 99.00 999 1019.9  10.4  11.1 999.0 99.0 99.00
2013 03 15 18 03 350  5.1 99.0 99.00 99.00 99.00 999 1019.9  10.7  11.1 999.0 99.0 99.00
2013 03 15 19 03 330  5.7 99.0 99.00 99.00 99.00 999 1019.7  10.8  11.2 999.0 99.0 99.00
2013 03 15 20 03 330  4.1 99.0 99.00 99.00 99.00 999 1018.8  11.0  11.3 999.0 99.0 99.00
2013 03 15 21 03 330  5.1 99.0 99.00 99.00 99.00 999 1018.5  11.3  11.3 999.0 99.0 99.00
2013 03 15 22 03 330  9.3 99.0 99.00 99.00 99.00 999 1018.2  11.2  11.3 999.0 99.0 99.00
2013 03 15 23 03 330  8.2 99.0 99.00 99.00 99.00 999 1017.7  11.3  11.2 999.0 99.0 99.00
2013 03 16 00 03 340  9.8 99.0 99.00 99.00 99.00 999 1017.6  11.6  11.3 999.0 99.0 99.00
2013 03 16 01 03 340 11.3 99.0 99.00 99.00 99.00 999 1017.2  11.8  11.3 999.0 99.0 99.00
2013 03 16 02 03 340  9.3 99.0 99.00 99.00 99.00 999 1017.5  11.6  11.2 999.0 99.0 99.00
2013 03 16 03 03 340  8.8 99.0 99.00 99.00 99.00 999 1017.7  11.4  11.2 999.0 99.0 99.00
2013 03 16 04 03 340  9.3 99.0 99.00 99.00 99.00 999 1017.9  11.2  11.1 999.0 99.0 99.00
2013 03 16 05 03 340  9.3 99.0 99.00 99.00 99.00 999 1018.5  11.0  11.1 999.0 99.0 99.00
2013 03 16 06 03 340  7.7 99.0 99.00 99.00 99.00 999 1018.8  10.9  11.0 999.0 99.0 99.00
2013 03 16 07 03 330 12.4 99.0 99.00 99.00 99.00 999 1018.2  10.1  11.0 999.0 99.0 99.00
2013 03 16 08 03 340 10.3 99.0 99.00 99.00 99.00 999 1018.3  10.0  11.0 999.0 99.0 99.00
2013 03 16 09 03 340  8.2 99.0 99.00 99.00 99.00 999 1018.4  10.1  10.9 999.0 99.0 99.00
2013 03 16 10 03 340  7.2 99.0 99.00 99.00 99.00 999 1018.0   9.8  10.9 999.0 99.0 99.00
2013 03 16 11 03 350  5.7 99.0 99.00 99.00 99.00 999 1018.0  10.0  10.9 999.0 99.0 99.00
2013 03 16 12 03  20  3.6 99.0 99.00 99.00 99.00 999 1018.1  10.1  10.9 999.0 99.0 99.00
2013 03 16 13 03  30  4.1 99.0 99.00 99.00 99.00 999 1017.4   9.4  10.9 999.0 99.0 99.00
