#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 19 12 130 10.3 99.0 99.00 99.00 99.00 999 1005.7  13.9  13.1 999.0 99.0 99.00
2019 01 05 20 12 160 11.8 99.0 99.00 99.00 99.00 999 1006.3  13.5  13.2 999.0 99.0 99.00
2019 01 05 21 12 160  9.8 99.0 99.00 99.00 99.00 999 1006.6  12.4  13.2 999.0 99.0 99.00
2019 01 05 22 12 160 10.3 99.0 99.00 99.00 99.00 999 1007.1  12.4  13.2 999.0 99.0 99.00
2019 01 05 23 12 180  8.8 99.0 99.00 99.00 99.00 999 1008.3  12.7  13.1 999.0 99.0 99.00
2019 01 06 00 12 220  7.2 99.0 99.00 99.00 99.00 999 1009.4  13.6  13.2 999.0 99.0 99.00
2019 01 06 01 12 210  7.2 99.0 99.00 99.00 99.00 999 1009.8  13.4  13.2 999.0 99.0 99.00
2019 01 06 02 12 210  6.7 99.0 99.00 99.00 99.00 999 1010.6  13.3  13.2 999.0 99.0 99.00
2019 01 06 03 12 220  6.7 99.0 99.00 99.00 99.00 999 1011.5  13.2  13.2 999.0 99.0 99.00
2019 01 06 04 12 230  5.7 99.0 99.00 99.00 99.00 999 1012.1  13.2  13.2 999.0 99.0 99.00
2019 01 06 05 12 220  5.1 99.0 99.00 99.00 99.00 999 1012.8  12.9  13.2 999.0 99.0 99.00
2019 01 06 06 12 260  4.1 99.0 99.00 99.00 99.00 999 1013.1  12.2  13.1 999.0 99.0 99.00
2019 01 06 07 12 210  4.1 99.0 99.00 99.00 99.00 999 1013.3  12.3  13.1 999.0 99.0 99.00
2019 01 06 08 12 210  4.1 99.0 99.00 99.00 99.00 999 1013.3  12.6  13.1 999.0 99.0 99.00
2019 01 06 09 12 180  4.6 99.0 99.00 99.00 99.00 999 1013.8  12.9  13.1 999.0 99.0 99.00
2019 01 06 10 12 230  0.5 99.0 99.00 99.00 99.00 999 1014.2  12.5  13.1 999.0 99.0 99.00
2019 01 06 11 12 190  3.1 99.0 99.00 99.00 99.00 999 1013.6  12.7  13.1 999.0 99.0 99.00
2019 01 06 12 12 140  4.6 99.0 99.00 99.00 99.00 999 1013.8  12.5  13.1 999.0 99.0 99.00
2019 01 06 13 12 150  5.1 99.0 99.00 99.00 99.00 999 1014.0  12.3  12.9 999.0 99.0 99.00
2019 01 06 14 12 140  6.2 99.0 99.00 99.00 99.00 999 1014.0  12.0  12.8 999.0 99.0 99.00
2019 01 06 15 12  90  5.7 99.0 99.00 99.00 99.00 999 1014.4  11.0  12.9 999.0 99.0 99.00
2019 01 06 16 12  80  5.7 99.0 99.00 99.00 99.00 999 1014.5  11.2  12.9 999.0 99.0 99.00
2019 01 06 17 12 140  9.8 99.0 99.00 99.00 99.00 999 1015.2  12.5  12.9 999.0 99.0 99.00
2019 01 06 18 12 150 11.8 99.0 99.00 99.00 99.00 999 1014.9  12.9  12.9 999.0 99.0 99.00
2019 01 06 19 22 140 10.8 99.0 99.00 99.00 99.00 999 1014.2  12.4  12.9 999.0 99.0 99.00
2019 01 22 20 22 110  1.5 99.0 99.00 99.00 99.00 999 1028.9  12.4  13.9 999.0 99.0 99.00
2019 01 23 00 12 180  2.1 99.0 99.00 99.00 99.00 999 1028.3  13.4  14.0 999.0 99.0 99.00
2019 01 23 01 12 190  1.5 99.0 99.00 99.00 99.00 999 1028.6  13.2  14.0 999.0 99.0 99.00
2019 01 23 02 12 250  1.0 99.0 99.00 99.00 99.00 999 1028.6  13.0  13.9 999.0 99.0 99.00
2019 01 23 03 12 330  1.5 99.0 99.00 99.00 99.00 999 1028.8  13.3  13.8 999.0 99.0 99.00
2019 01 23 04 12  20  5.7 99.0 99.00 99.00 99.00 999 1028.9  13.1  13.8 999.0 99.0 99.00
2019 01 23 05 12  30  3.6 99.0 99.00 99.00 99.00 999 1029.5  12.8  13.8 999.0 99.0 99.00
2019 01 23 06 12  40  4.6 99.0 99.00 99.00 99.00 999 1029.4  12.4  13.8 999.0 99.0 99.00
2019 01 23 07 12  20  4.1 99.0 99.00 99.00 99.00 999 1029.7  12.1  13.7 999.0 99.0 99.00
2019 01 23 08 12  20  5.1 99.0 99.00 99.00 99.00 999 1029.8  11.6  13.7 999.0 99.0 99.00
2019 01 23 09 12  30  4.6 99.0 99.00 99.00 99.00 999 1029.7  11.0  13.7 999.0 99.0 99.00
2019 01 23 10 12  30  5.7 99.0 99.00 99.00 99.00 999 1029.4  10.2  13.7 999.0 99.0 99.00
2019 01 23 11 12  30  6.2 99.0 99.00 99.00 99.00 999 1029.7  10.0  13.6 999.0 99.0 99.00
2019 01 23 12 12  40  5.1 99.0 99.00 99.00 99.00 999 1029.3   9.7  13.7 999.0 99.0 99.00
2019 01 23 13 12  40  6.2 99.0 99.00 99.00 99.00 999 1029.2  10.0  13.6 999.0 99.0 99.00
2019 01 23 14 12  40  6.7 99.0 99.00 99.00 99.00 999 1029.2   8.8  13.6 999.0 99.0 99.00
2019 01 23 15 12  40  5.7 99.0 99.00 99.00 99.00 999 1029.6  10.0  13.6 999.0 99.0 99.00
2019 01 23 16 12  30  6.7 99.0 99.00 99.00 99.00 999 1029.7   9.5  13.6 999.0 99.0 99.00
2019 01 23 17 12  40  6.2 99.0 99.00 99.00 99.00 999 1030.0   9.4  13.6 999.0 99.0 99.00
2019 01 23 18 12  20  4.1 99.0 99.00 99.00 99.00 999 1030.5  10.0  13.6 999.0 99.0 99.00
2019 01 23 19 12 360  3.1 99.0 99.00 99.00 99.00 999 1030.1  10.4  13.6 999.0 99.0 99.00
2019 01 23 20 12 340  2.1 99.0 99.00 99.00 99.00 999 1029.1  11.3  13.7 999.0 99.0 99.00
2019 01 23 21 12 320  2.6 99.0 99.00 99.00 99.00 999 1028.2  12.6  13.8 999.0 99.0 99.00
2019 01 23 22 12 310  3.6 99.0 99.00 99.00 99.00 999 1027.0  12.2  13.8 999.0 99.0 99.00
2019 01 23 23 12 290  4.6 99.0 99.00 99.00 99.00 999 1026.2  12.5  13.9 999.0 99.0 99.00
2019 01 24 00 12 270  4.1 99.0 99.00 99.00 99.00 999 1025.6  13.0  13.8 999.0 99.0 99.00
2019 01 24 01 12 300  5.1 99.0 99.00 99.00 99.00 999 1025.4  13.4  13.7 999.0 99.0 99.00
2019 01 24 02 12 310  3.6 99.0 99.00 99.00 99.00 999 1025.5  13.6  13.7 999.0 99.0 99.00
2019 01 24 03 12  30  2.6 99.0 99.00 99.00 99.00 999 1025.7  13.3  13.7 999.0 99.0 99.00
2019 01 24 04 12  90  2.6 99.0 99.00 99.00 99.00 999 1025.9  13.7  13.6 999.0 99.0 99.00
2019 01 24 05 12   0  0.0 99.0 99.00 99.00 99.00 999 1025.8  13.3  13.6 999.0 99.0 99.00
2019 01 24 06 12  60  3.1 99.0 99.00 99.00 99.00 999 1024.8  13.4  13.6 999.0 99.0 99.00
2019 01 24 07 12  20  3.1 99.0 99.00 99.00 99.00 999 1025.0  12.9  13.6 999.0 99.0 99.00
2019 01 24 08 12 360  4.1 99.0 99.00 99.00 99.00 999 1024.8  12.5  13.6 999.0 99.0 99.00
2019 01 24 09 12  20  3.6 99.0 99.00 99.00 99.00 999 1024.2  12.4  13.6 999.0 99.0 99.00
2019 01 24 10 12  30  3.1 99.0 99.00 99.00 99.00 999 1024.4  12.4  13.6 999.0 99.0 99.00
2019 01 24 11 12  30  6.2 99.0 99.00 99.00 99.00 999 1023.9  13.0  13.6 999.0 99.0 99.00
2019 01 24 12 22  20  5.7 99.0 99.00 99.00 99.00 999 1023.6  12.4  13.6 999.0 99.0 99.00
2019 01 24 13 12  40  2.6 99.0 99.00 99.00 99.00 999 1023.9  11.4  13.6 999.0 99.0 99.00
2019 01 24 14 12  30  4.1 99.0 99.00 99.00 99.00 999 1023.9  11.2  13.6 999.0 99.0 99.00
2019 01 24 15 12  30  5.1 99.0 99.00 99.00 99.00 999 1023.6  11.3  13.6 999.0 99.0 99.00
