#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 57  50  4.6 99.0 99.00 99.00 99.00 999 1018.5  13.5  12.0 999.0 99.0 99.00
2012 01 01 01 57  90  8.2 99.0 99.00 99.00 99.00 999 1018.3  13.8  12.0 999.0 99.0 99.00
2012 01 01 02 57  80  9.3 99.0 99.00 99.00 99.00 999 1018.4  13.7  12.0 999.0 99.0 99.00
2012 01 01 04 57  80 11.3 99.0 99.00 99.00 99.00 999 1018.4  13.3  12.0 999.0 99.0 99.00
2012 01 01 06 57  80  9.3 99.0 99.00 99.00 99.00 999 1019.1  12.9  11.9 999.0 99.0 99.00
2012 01 01 07 57  80  9.3 99.0 99.00 99.00 99.00 999 1018.6  12.2  11.9 999.0 99.0 99.00
2012 01 01 09 57  90 10.3 99.0 99.00 99.00 99.00 999 1018.2  11.8  11.9 999.0 99.0 99.00
2012 01 01 10 57 100 10.3 99.0 99.00 99.00 99.00 999 1018.5  11.2  11.9 999.0 99.0 99.00
2012 01 01 11 57  90  9.3 99.0 99.00 99.00 99.00 999 1018.4  11.8  11.9 999.0 99.0 99.00
2012 01 01 12 57  80 10.3 99.0 99.00 99.00 99.00 999 1018.0  11.8  11.9 999.0 99.0 99.00
2012 01 01 13 57  90  9.3 99.0 99.00 99.00 99.00 999 1018.7  11.8  11.9 999.0 99.0 99.00
2012 01 01 14 57 100  7.2 99.0 99.00 99.00 99.00 999 1019.8  11.8  11.9 999.0 99.0 99.00
2012 01 01 15 57 100  8.2 99.0 99.00 99.00 99.00 999 1020.2  12.1  11.8 999.0 99.0 99.00
2012 01 01 16 57 100  9.3 99.0 99.00 99.00 99.00 999 1020.3  11.6  11.8 999.0 99.0 99.00
2012 01 01 18 17  90  7.7 99.0 99.00 99.00 99.00 999 1020.8  12.8  11.8 999.0 99.0 99.00
2012 01 01 19 57 110  5.7 99.0 99.00 99.00 99.00 999 1019.7  14.0  11.8 999.0 99.0 99.00
2012 01 01 20 57 120  2.1 99.0 99.00 99.00 99.00 999 1019.3  14.2  11.9 999.0 99.0 99.00
2012 01 01 21 57 230  2.1 99.0 99.00 99.00 99.00 999 1019.0  17.2  12.0 999.0 99.0 99.00
2012 01 01 22 57 260  1.5 99.0 99.00 99.00 99.00 999 1018.8  15.7  12.2 999.0 99.0 99.00
2012 01 02 00 57 250  1.0 99.0 99.00 99.00 99.00 999 1018.5  14.1  12.2 999.0 99.0 99.00
2012 01 02 01 57   0  0.0 99.0 99.00 99.00 99.00 999 1019.3  13.1  12.1 999.0 99.0 99.00
2012 01 02 02 57 200  4.6 99.0 99.00 99.00 99.00 999 1019.7  13.0  12.1 999.0 99.0 99.00
