#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 21 999 99.0 99.0  0.51 10.53  8.95 348 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 00 51 999 99.0 99.0  0.43 11.11  8.76 352 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 01 21 999 99.0 99.0  0.44 10.53  8.82 346 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 01 51 999 99.0 99.0  0.47 10.53  9.00 351 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 02 21 999 99.0 99.0  0.46 11.11  8.83 349 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 02 51 999 99.0 99.0  0.47 11.11  8.88 348 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 03 21 999 99.0 99.0  0.44 10.53  8.70 346 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 03 51 999 99.0 99.0  0.41 10.53  8.65 348 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 04 21 999 99.0 99.0  0.44 11.11  8.91 349 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 04 51 999 99.0 99.0  0.41 11.11  8.80 349 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 05 21 999 99.0 99.0  0.43 11.11  8.97 345 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 05 51 999 99.0 99.0  0.40 11.11  8.58 346 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 06 21 999 99.0 99.0  0.39 11.11  8.65 353 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 06 51 999 99.0 99.0  0.37 11.11  8.52 349 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 07 21 999 99.0 99.0  0.36 10.53  8.52 343 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 07 51 999 99.0 99.0  0.37 10.53  8.60 343 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 08 21 999 99.0 99.0  0.35 10.53  8.50 346 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 08 51 999 99.0 99.0  0.35 11.11  8.57 345 9999.0 999.0  13.4 999.0 99.0 99.00
2018 01 01 09 21 999 99.0 99.0  0.36 11.11  8.88 348 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 09 51 999 99.0 99.0  0.34 10.53  8.71 345 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 10 21 999 99.0 99.0  0.38  9.88  9.01 338 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 10 51 999 99.0 99.0  0.32 10.53  8.42 345 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 11 21 999 99.0 99.0  0.37 10.53  8.78 342 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 11 51 999 99.0 99.0  0.34 10.53  8.80 342 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 12 21 999 99.0 99.0  0.35  9.88  8.94 343 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 12 51 999 99.0 99.0  0.34  9.88  8.61 342 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 13 21 999 99.0 99.0  0.35  9.88  8.40 341 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 13 51 999 99.0 99.0  0.37  9.88  8.89 338 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 14 21 999 99.0 99.0  0.33  9.88  8.76 342 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 14 51 999 99.0 99.0  0.39  9.88  7.84 341 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 15 21 999 99.0 99.0  0.35  9.88  8.95 334 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 15 51 999 99.0 99.0  0.32  9.88  9.01 331 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 16 21 999 99.0 99.0  0.37  9.88  9.18 342 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 16 51 999 99.0 99.0  0.34  9.88  7.79 343 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 17 21 999 99.0 99.0  0.33 10.53  6.71 336 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 17 51 999 99.0 99.0  0.35 10.53  5.88 338 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 18 21 999 99.0 99.0  0.42  9.88  4.98 336 9999.0 999.0  13.5 999.0 99.0 99.00
2018 01 01 18 51 999 99.0 99.0  0.41 16.67  5.11 353 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 19 21 999 99.0 99.0  0.43 16.67  4.15 345 9999.0 999.0  13.6 999.0 99.0 99.00
2018 01 01 19 51 999 99.0 99.0  0.41 16.67  4.10 317 9999.0 999.0  13.7 999.0 99.0 99.00
2018 01 01 20 21 999 99.0 99.0  0.40 16.67  4.35 332 9999.0 999.0  13.7 999.0 99.0 99.00
2018 01 01 20 51 999 99.0 99.0  0.38 16.67  4.99 341 9999.0 999.0  13.7 999.0 99.0 99.00
2018 01 01 21 21 999 99.0 99.0  0.38 16.67  5.92 345 9999.0 999.0  13.8 999.0 99.0 99.00
2018 01 01 21 51 999 99.0 99.0  0.32 15.38  7.45 353 9999.0 999.0  13.8 999.0 99.0 99.00
2018 01 01 22 21 999 99.0 99.0  0.35 15.38  6.54 355 9999.0 999.0  13.8 999.0 99.0 99.00
2018 01 01 22 51 999 99.0 99.0  0.34 16.67  5.78   2 9999.0 999.0  13.8 999.0 99.0 99.00
2018 01 01 23 21 999 99.0 99.0  0.35 16.67  5.02   2 9999.0 999.0  13.7 999.0 99.0 99.00
2018 01 01 23 51 999 99.0 99.0  0.35 16.67  4.18   7 9999.0 999.0  13.7 999.0 99.0 99.00
