#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 02 02 45 999 99.0 99.0  1.28 11.11 10.11 344 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 03 15 999 99.0 99.0  1.10 11.76 10.23 346 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 03 45 999 99.0 99.0  1.16 11.76 10.18 344 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 04 15 999 99.0 99.0  1.19 11.76 10.39 344 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 04 45 999 99.0 99.0  1.13 11.76 10.29 347 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 05 15 999 99.0 99.0  1.22 11.11 10.41 343 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 05 45 999 99.0 99.0  1.17 11.76 10.59 347 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 06 15 999 99.0 99.0  1.10 11.11 10.41 343 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 06 45 999 99.0 99.0  1.11 12.50 10.67 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 07 15 999 99.0 99.0  1.21 11.76 11.17 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 07 45 999 99.0 99.0  1.31 12.50 11.46 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 08 15 999 99.0 99.0  1.31 12.50 12.21 346 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 08 45 999 99.0 99.0  1.36 14.29 12.32   0 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 09 15 999 99.0 99.0  1.43 12.50 12.02 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 09 45 999 99.0 99.0  1.47 16.67 12.16   0 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 10 15 999 99.0 99.0  1.48 11.76 11.51 350 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 10 45 999 99.0 99.0  1.77 12.50 11.59 354 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 11 15 999 99.0 99.0  1.62 15.38 11.32   6 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 11 45 999 99.0 99.0  1.80 12.50 11.03 353 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 12 15 999 99.0 99.0  1.68 16.67 10.98   1 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 12 45 999 99.0 99.0  1.82 12.50 11.07 356 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 13 15 999 99.0 99.0  1.86 14.29 10.86   7 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 13 45 999 99.0 99.0  1.71 13.33 10.74   0 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 14 15 999 99.0 99.0  1.77 12.50 10.91 352 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 14 45 999 99.0 99.0  1.81 12.50 11.13 353 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 15 15 999 99.0 99.0  1.97 12.50 11.13 352 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 15 45 999 99.0 99.0  1.89 11.76 10.95 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 16 15 999 99.0 99.0  1.76 12.50 10.79 354 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 16 45 999 99.0 99.0  1.74 12.50 10.91 353 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 17 15 999 99.0 99.0  1.81 13.33 10.74 357 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 17 45 999 99.0 99.0  1.95 11.76 11.05 344 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 02 18 15 999 99.0 99.0  1.96 11.11 10.84 346 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 18 45 999 99.0 99.0  1.78 11.11 10.43 346 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 02 19 15 999 99.0 99.0  1.71 13.33 10.68 353 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 19 45 999 99.0 99.0  1.80 12.50 10.53 350 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 20 15 999 99.0 99.0  1.74 12.50 10.45 352 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 20 45 999 99.0 99.0  1.77 12.50 10.71 350 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 21 15 999 99.0 99.0  1.71 11.76 10.31 347 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 21 45 999 99.0 99.0  1.74 11.76 10.47 349 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 22 15 999 99.0 99.0  1.74 11.76 10.50 347 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 22 45 999 99.0 99.0  1.46 11.76  9.85 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 23 45 999 99.0 99.0  1.35 11.11  9.14 346 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 00 15 999 99.0 99.0  1.47 11.76  9.49 350 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 00 45 999 99.0 99.0  1.36 11.11  9.10 346 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 01 15 999 99.0 99.0  1.51  9.88  9.52 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 01 45 999 99.0 99.0  1.43 11.11  9.55 350 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 02 15 999 99.0 99.0  1.33 11.76  9.37 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 02 45 999 99.0 99.0  1.41 12.50  9.93 357 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 03 15 999 99.0 99.0  1.35 11.11  9.93 349 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 03 45 999 99.0 99.0  1.44 13.33  9.79 356 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 04 15 999 99.0 99.0  1.46 12.50  9.39 353 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 04 45 999 99.0 99.0  1.46 13.33  9.11 352 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 03 05 15 999 99.0 99.0  1.40 11.76  8.80 349 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 03 05 45 999 99.0 99.0  1.37 12.50  8.57 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 06 15 999 99.0 99.0  1.34 11.76  8.50 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 06 45 999 99.0 99.0  1.45 12.50  8.88 346 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 07 15 999 99.0 99.0  1.47 13.33  8.82 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 07 45 999 99.0 99.0  1.45 13.33  8.80 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 08 15 999 99.0 99.0  1.56 13.33  9.32 352 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 08 45 999 99.0 99.0  1.64 13.33  9.29 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 09 15 999 99.0 99.0  1.77 11.76  9.26 344 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 09 45 999 99.0 99.0  1.65 12.50  9.16 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 10 15 999 99.0 99.0  1.49 13.33  8.71 356 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 10 45 999 99.0 99.0  1.38 12.50  8.64 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 11 15 999 99.0 99.0  1.51 11.76  9.28 349 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 11 45 999 99.0 99.0  1.28 11.76  8.62 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 12 15 999 99.0 99.0  1.15 12.50  8.27 346 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 12 45 999 99.0 99.0  1.34 12.50  9.02 346 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 13 15 999 99.0 99.0  1.08 11.76  7.76 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 13 45 999 99.0 99.0  1.30 12.50  8.53 354 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 14 15 999 99.0 99.0  1.31 11.76  8.19 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 14 45 999 99.0 99.0  1.22 12.50  7.94 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 15 15 999 99.0 99.0  1.20 11.76  8.25 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 15 45 999 99.0 99.0  1.19 12.50  7.45 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 16 15 999 99.0 99.0  1.06 12.50  7.02 350 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 03 16 45 999 99.0 99.0  1.12 12.50  7.16 350 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 03 17 15 999 99.0 99.0  1.01 11.76  6.64 346 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 03 17 45 999 99.0 99.0  1.07 12.50  6.88 354 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 03 18 15 999 99.0 99.0  1.10 12.50  7.23 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 18 45 999 99.0 99.0  1.04 12.50  6.60 353 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 19 15 999 99.0 99.0  1.02 11.76  6.64 353 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 19 45 999 99.0 99.0  0.99 12.50  6.62 350 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 20 15 999 99.0 99.0  0.99 11.76  6.92 344 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 03 20 45 999 99.0 99.0  0.99 12.50  7.26 349 9999.0 999.0  13.0 999.0 99.0 99.00
